ID,Property ID,Listing Details,Agent Name,Agent Telephone,Latitude Longitude,Agency Name,Agency Address,Published on,Last updated on,Image URLs
['120085887590'],120085887590,"For sale under construction apartment of 102 sq.meters in Athens. The apartment is situated on the 3rd floor. Consists of 3 bedrooms, living room with kitchen, one bathroom, one Wc. Flat has front layout. A view of the city opens up from the windows. There is a fireplace and heating. Building has a lift. Extras included with the property: parking space. The apartment is located in the Moshato area.",Grekodom Development,+30 231 059 1...,"['37.953136', '23.677042']",Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/a61e01102c18dab5ba5b33e4a336883c.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/71b738031a00b2a8e237eb10b8c68ab8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/58b72333caf5920e7f71a9abbe85453a.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/3188ca0c6a40fd0bc71e2e5ae7f85693.jpg
['120085887590'],120085887590,"For sale under construction apartment of 102 sq.meters in Athens. The apartment is situated on the 3rd floor. Consists of 3 bedrooms, living room with kitchen, one bathroom, one Wc. Flat has front layout. A view of the city opens up from the windows. There is a fireplace and heating. Building has a lift. Extras included with the property: parking space. The apartment is located in the Moshato area.",Grekodom Development,+30 231 059 1...,"['37.953136', '23.677042']",Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/a61e01102c18dab5ba5b33e4a336883c.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/71b738031a00b2a8e237eb10b8c68ab8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/58b72333caf5920e7f71a9abbe85453a.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/3188ca0c6a40fd0bc71e2e5ae7f85693.jpg
['120085887538'],120085887538,"Alimos - Kefallinon, Duplex / Triplex Apartment,, Sale, 196 sq.m, year built 2007, 4 rooms, 4th, Various Characteristics: Balcony, Bath (2), Fire Place, Kitchen, Living room, Store Room, Swimming Pool, Flooring: Murble, Wooden floor, Heating: Autonomous Gas Heating, Access road, Aluminium panels, Bbq, Bright, Double-glazing, Facade, From Side to Side, Luxury, Painted, Residential area, Screens, Security Door, Solar Heating, In perfect condition: : : : Parking area: Garage (2), Energy class: Î. Property Id: 48153, -",Nova Terra,+30 21 0898 3...,"['37.90964', '23.78019']",Nova Terra,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/053c6b8b51f58026aac8a75e7e6b2d09.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/256834796a4bd67a2a174aad1ea34b8d.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/5249edace9fe71f7cf454c631cc33caf.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/088e9d703587a5de6a5815450c8ee1de.jpg
['120085887478'],120085887478,"For sale under construction apartment of 96 sq.meters in Athens. The apartment is situated on the 2nd floor. Consists of 3 bedrooms, living room with kitchen, one bathroom, one Wc. Flat has front layout. A view of the city opens up from the windows. There is a fireplace and heating. Building has a lift. Extras included with the property: parking space. The apartment is located in the Moshato area.",Grekodom Development,+30 231 059 1...,"['37.953136', '23.677042']",Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/a61e01102c18dab5ba5b33e4a336883c.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/71b738031a00b2a8e237eb10b8c68ab8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/58b72333caf5920e7f71a9abbe85453a.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/3188ca0c6a40fd0bc71e2e5ae7f85693.jpg
['120085887452'],120085887452,"For sale under construction apartment of 106 sq.meters in Athens. The apartment is situated on the 3rd floor. Consists of 3 bedrooms, living room with kitchen, one bathroom, one Wc. Flat has front layout. A view of the city opens up from the windows. There is a fireplace and heating. Building has a lift. Extras included with the property: parking space. The apartment is located in the Moshato area.",Grekodom Development,+30 231 059 1...,"['37.953136', '23.677042']",Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/a61e01102c18dab5ba5b33e4a336883c.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/71b738031a00b2a8e237eb10b8c68ab8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/58b72333caf5920e7f71a9abbe85453a.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/3188ca0c6a40fd0bc71e2e5ae7f85693.jpg
['120085887444'],120085887444,"It is a luxurious, newly built three-level maisonette with a total area of 240 square meters. The ground floor consists of a spacious living area, an independent kitchen and a Wc. The first floor comprises three bedrooms and one bathroom, with all bedrooms having a private balcony. The second floor includes a room that can be used as either an office or a bedroom.

In the semi-basement there is a playroom with its own entrance, which includes a living area, a kitchen and a Wc with a shower. There is also space for a laundry. The maisonette also has a warehouse, a roof garden and an elevator that serves all levels from the underground parking to the roof garden.

In terms of amenities and features, the maisonette has independent natural gas heating, electric aluminum frames, wooden floors, armored door, fitted wardrobes, parking space, garden, fireplace, alarm, screens, double glazing, solar water heater, satellite antenna, night current, internal staircase, terraces around the building and a beautiful private garden. The reception areas are impressive, giving a sense of luxury.

The underground parking can accommodate two cars and there is a view of the surroundings. The maisonette's energy class is A+.",IBPG,+30 21 0691 8...,"['38.097103', '23.809214']",IBPG,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/ddda20f44be6e44e42474747a7ea323d.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/8c9aa02a51a115701d10909200a4a391.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/7eda956c9b71dafbbda1b41335e00924.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/44bff60c36c84074e10923d12498a9b7.jpg
['120085887385'],120085887385,"For sale apartment of 93 sq.meters in Athens. The apartment is situated on the ground floor. Consists of 3 bedrooms, living room, one kitchen, one bathroom. Flat has front layout. A view of the city opens up from the windows. There are solar panels for water heating, air conditioning and heating.Extras included with the property: garden. The apartment is located in the Kolonos area",Grekodom Development,+30 231 059 1...,"['37.998384', '23.721899']",Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/f79921e4da1a246344d177783b4565c1.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/7adb8642aba39d126a6fc030a8ffcf8b.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/91f3b907d78eef3621c495428927945b.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/e6f070aac9f9fa3aeec8cc01442fd243.jpg
['120085887371'],120085887371,"For sale maisonette of 145 sq.meters in Athens. The maisonette has 2 levels. The fifth floor consists of one bedroom, living room, one kitchen, one Wc. The sixth floor consists of 3 bedrooms, one bathroom, 2 storerooms. A magnificent view of the city, the sea, the mountain opens up from the windows. There are solar panels for water heating, a fireplace, air conditioning, awnings, heating and a barbecue area. Building has a lift. Extras included with the property: parking space. The apartment is located in Ampelokipoi area.",Grekodom Development,+30 231 059 1...,"['37.992095', '23.760424']",Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/b93630a7c17f6a4736cc07c7d05b718f.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/92a9a19984c7371682187ee2d8f352b9.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/ff3c270abe0f5062513b2c398e1b63e7.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/be13e2f0f0f82e9e26592687f8ac96cf.jpg
['120085887307'],120085887307,"Voula (Panorama), exceptional detached house that offers a generous living space of 587 sq.m. And boasts breathtaking sea views. The house is spread across five levels, presenting a thoughtfully designed layout:
On the ground floor, there is a spacious apartment spanning 126,68 sq.m., featuring an open kitchen, a living room, and a master bedroom with its own bathroom and Wc. This area seamlessly connects to the pool area, complete with a jacuzzi and a Bbq. Additionally, there is a Wc with a shower conveniently located in this space.
Ascending to the 1st floor, you& 039 ll find an independent entrance leading to a 123,4 sq.m. Area consisting of a living room, an open kitchen, and a WC.
The 2nd floor spans 94,51 sq.m. And comprises three master bedrooms, each with its own bathroom, as well as a spacious living room.
Continuing to the 3rd floor, there is a 51,92 sq.m. Master bedroom.
The basement, which covers an area of 184,52 sq.m., features a sizable playroom, a maid& 039 s room, and a laundry room.
The heating system operates with underfloor heating, offering autonomous control per floor.The property is equipped with various amenities, including four basement parking spaces, a security door, a comprehensive alarm system throughout the house, a video intercom, a storage room, two fireplaces, an internal staircase, and an elevator. Additionally, the house features double-glazed windows, screens, verandas, a charcoal Bbq, and air conditioning per floor, ensuring comfort throughout the entire house. 
Furthermore, the house has the potential to function as two independent properties.",Pmd Realestate Network,+30 21 1013 2...,"['37.859835', '23.783731']",Pmd Realestate Network,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/6e2f14fd23f71b09db8d432246299a3e.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/add5c24cbfd25e64cb0dd5296d999777.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/74c2806638ef538db5cd7b9b2a8e2d0f.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/fc157df1c3e5d8be155f33a91f8dece0.jpg
['120085887312'],120085887312,"Property Code: 25-1384 - Apartment For Sale in Piraeus Piraeus - Center for â¬120.000 . This 57 sq. M. Apartment is on the 2 nd floor and features 1 Bedroom, Livingroom, Kitchen, bathroom . The property also boasts Heating system: Central oil heating, wooden floor, Window frames: Wooden, awning, balcony: 5 sq.m.. The building was constructed in 1972 . Building Energy Rating: D Nearest metro station at 300 meters.",REMAX ZED,+30 697 729 9...,"['37.943131', '23.642213']",REMAX ZED,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/f4eb1da5d5259c85cb208e30739afc43.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/f120e92d74cfaf2c06d6b71719bf3141.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/6b965dc06e0cfeb6bb03d08016b6c3d4.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/302b9a6a9435fad75bb880c26dc08543.jpg
['120085887198'],120085887198,"Apartment For sale, floor: 4th, in Palaio Faliro - Floisvos. The Apartment is 81 sq.m.. It consists of: 2 bedrooms, 1 bathrooms, 1 wc, 1 kitchens, 1 living rooms and it also has 1 parkings (1 Front). The property was built in 1980, it has Alluminum frames with Double glazed windows, the energy certificate is: Under publication. The property's status is: Renovated, it is close to Tram, Transportation, Sea, School, Square, Church, City Center. The Apartment is Bright and it also has the following unique features and advantages: Tents, Elevator, Storage, Security door, Cctv, Security alarm, Quiet neighborhood. Price: 280.000.  Property Real Estate, contact phone: , , email: , website:",INPROPERTY REAL ESTATE,+30 697 060 7...,"['37.930191', '23.688253']",INPROPERTY REAL ESTATE,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/940399575a085e8550a2b3c341ed898f.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/e8b2322f9c054cf2859952c3e771cbc2.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/03008cb4d751709bd9414ea2e7db13e0.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/8f886731c93d310d850446e8e217b784.jpg
['120085886970'],120085886970,"For sale under construction apartment of 102 sq.meters in Athens. The apartment is situated on the 1st floor. Consists of 3 bedrooms, living room with kitchen, one bathroom, one Wc. Flat has front layout. A view of the city opens up from the windows. There is a fireplace and heating. Building has a lift. Extras included with the property: parking space.     .",Grekodom Development,+30 231 059 1...,"['37.953136', '23.677042']",Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/a61e01102c18dab5ba5b33e4a336883c.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/58b72333caf5920e7f71a9abbe85453a.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/71b738031a00b2a8e237eb10b8c68ab8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/3188ca0c6a40fd0bc71e2e5ae7f85693.jpg
['120085886821'],120085886821,"For sale under construction apartment of 100 sq.meters in Athens. The apartment is situated on the 5th floor. Consists of 3 bedrooms, living room with kitchen, one bathroom, one Wc. Flat has front layout. A view of the city, the mountain opens up from the windows. There is a fireplace and heating. Building has a lift. Extras included with the property: parking space. The apartment is located in the Moshato area.",Grekodom Development,+30 231 059 1...,"['37.953136', '23.677042']",Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/a61e01102c18dab5ba5b33e4a336883c.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/71b738031a00b2a8e237eb10b8c68ab8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/58b72333caf5920e7f71a9abbe85453a.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/3188ca0c6a40fd0bc71e2e5ae7f85693.jpg
['120085886837'],120085886837,"For sale under construction apartment of 97 sq.meters in Athens. The apartment is situated on the 2nd floor. Consists of 3 bedrooms, living room with kitchen, one bathroom, one Wc. Flat has front layout. A view of the city opens up from the windows. There is a fireplace and heating. Building has a lift. Extras included with the property: parking space. The apartment is located in the Moshato area.",Grekodom Development,+30 231 059 1...,"['37.953136', '23.677042']",Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/a61e01102c18dab5ba5b33e4a336883c.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/71b738031a00b2a8e237eb10b8c68ab8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/58b72333caf5920e7f71a9abbe85453a.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/3188ca0c6a40fd0bc71e2e5ae7f85693.jpg
['120085886849'],120085886849,"For sale under construction apartment of 136 sq.meters in Athens. The apartment is situated on the 1st floor. Consists of 3 bedrooms, living room with kitchen, 2 shower Wc. Flat has front layout. A view of the city, the forest opens up from the windows. There is a fireplace, air conditioning and awnings. The owners will be leaving the furniture with the sale. Building has a lift. The apartment is located in Kifissia .",Grekodom Development,+30 231 059 1...,"['38.071124', '23.817317']",Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/9ad2ee2960c05caff8a34c8fce94f81f.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/d5d77450d0fae281087c48cbbd54d8c2.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/d138ebd83c168f9a8d18b006a0826754.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/ce1ea8d1f3928c09e3c30a6c92530f26.jpg






























['120085887590'],120085887590,"For sale under construction apartment of 102 sq.meters in Athens. The apartment is situated on the 3rd floor. Consists of 3 bedrooms, living room with kitchen, one bathroom, one Wc. Flat has front layout. A view of the city opens up from the windows. There is a fireplace and heating. Building has a lift. Extras included with the property: parking space. The apartment is located in the Moshato area.",Grekodom Development,+30 231 059 1...,"['37.953136', '23.677042']",Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/a61e01102c18dab5ba5b33e4a336883c.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/71b738031a00b2a8e237eb10b8c68ab8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/58b72333caf5920e7f71a9abbe85453a.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/3188ca0c6a40fd0bc71e2e5ae7f85693.jpg
['120085887590'],120085887590,"For sale under construction apartment of 102 sq.meters in Athens. The apartment is situated on the 3rd floor. Consists of 3 bedrooms, living room with kitchen, one bathroom, one Wc. Flat has front layout. A view of the city opens up from the windows. There is a fireplace and heating. Building has a lift. Extras included with the property: parking space. The apartment is located in the Moshato area.",Grekodom Development,+30 231 059 1...,"['37.953136', '23.677042']",Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/a61e01102c18dab5ba5b33e4a336883c.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/71b738031a00b2a8e237eb10b8c68ab8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/58b72333caf5920e7f71a9abbe85453a.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/3188ca0c6a40fd0bc71e2e5ae7f85693.jpg
['120085887590'],120085887590,"For sale under construction apartment of 102 sq.meters in Athens. The apartment is situated on the 3rd floor. Consists of 3 bedrooms, living room with kitchen, one bathroom, one Wc. Flat has front layout. A view of the city opens up from the windows. There is a fireplace and heating. Building has a lift. Extras included with the property: parking space. The apartment is located in the Moshato area.",Grekodom Development,+30 231 059 1...,"['37.953136', '23.677042']",Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/a61e01102c18dab5ba5b33e4a336883c.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/71b738031a00b2a8e237eb10b8c68ab8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/58b72333caf5920e7f71a9abbe85453a.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/3188ca0c6a40fd0bc71e2e5ae7f85693.jpg
['120085887590'],120085887590,"For sale under construction apartment of 102 sq.meters in Athens. The apartment is situated on the 3rd floor. Consists of 3 bedrooms, living room with kitchen, one bathroom, one Wc. Flat has front layout. A view of the city opens up from the windows. There is a fireplace and heating. Building has a lift. Extras included with the property: parking space. The apartment is located in the Moshato area.",Grekodom Development,+30 231 059 1...,37.953136,23.677042,Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/a61e01102c18dab5ba5b33e4a336883c.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/71b738031a00b2a8e237eb10b8c68ab8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/58b72333caf5920e7f71a9abbe85453a.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/3188ca0c6a40fd0bc71e2e5ae7f85693.jpg
['120085887590'],120085887590,"For sale under construction apartment of 102 sq.meters in Athens. The apartment is situated on the 3rd floor. Consists of 3 bedrooms, living room with kitchen, one bathroom, one Wc. Flat has front layout. A view of the city opens up from the windows. There is a fireplace and heating. Building has a lift. Extras included with the property: parking space. The apartment is located in the Moshato area.",Grekodom Development,+30 231 059 1...,37.953136,23.677042,Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/a61e01102c18dab5ba5b33e4a336883c.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/71b738031a00b2a8e237eb10b8c68ab8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/58b72333caf5920e7f71a9abbe85453a.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/3188ca0c6a40fd0bc71e2e5ae7f85693.jpg
['120085887590'],120085887590,"For sale under construction apartment of 102 sq.meters in Athens. The apartment is situated on the 3rd floor. Consists of 3 bedrooms, living room with kitchen, one bathroom, one Wc. Flat has front layout. A view of the city opens up from the windows. There is a fireplace and heating. Building has a lift. Extras included with the property: parking space. The apartment is located in the Moshato area.",Grekodom Development,+30 231 059 1...,37.953136,23.677042,Grekodom Development,,22 Jul 2023,22 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/a61e01102c18dab5ba5b33e4a336883c.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/71b738031a00b2a8e237eb10b8c68ab8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/58b72333caf5920e7f71a9abbe85453a.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/3188ca0c6a40fd0bc71e2e5ae7f85693.jpg
['120085909532'],120085909532,"Piraeus, kaminia, Building For Sale, 100 sq.m., In Plot 128 sq.m., Property Status: Very Good, Floor: Ground floor, 2 Level(s), 3 Bedrooms 2 Kitchen(s), 2 Bathroom(s), 1 Wc, Heating: Autonomous - Electricity, View: Unlimited, Energy Certificate: Under publication, Type of door frames: Aluminum, Features: Security door, Storage room, Fireplace (2), Playroom, Double Glazed Windows, Balcony Cover, Bbq, Pets Allowed, Furnished, Stonehouse, Airy, Roadside, AirConditioning, Back yard (Garden), Renovated, Price: 259.000. Berkshire Hathaway HomeServices Athens Properties, Tel: , email:",Berkshire Hathaway HomeServices Athens Properties,+30 698 555 8...,37.96125,23.670436,Berkshire Hathaway HomeServices Athens Properties,,23 Jul 2023,23 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/6683ae5d90f0d4008488574cd5a376f5.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/fff9bcfa6435fbc913969a1645990dd8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/601c5e3a327c160aa7988aa08e879c0d.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/59ea4de1d0d3b80c991836966250aef0.jpg
['120085909532'],120085909532,"Piraeus, kaminia, Building For Sale, 100 sq.m., In Plot 128 sq.m., Property Status: Very Good, Floor: Ground floor, 2 Level(s), 3 Bedrooms 2 Kitchen(s), 2 Bathroom(s), 1 Wc, Heating: Autonomous - Electricity, View: Unlimited, Energy Certificate: Under publication, Type of door frames: Aluminum, Features: Security door, Storage room, Fireplace (2), Playroom, Double Glazed Windows, Balcony Cover, Bbq, Pets Allowed, Furnished, Stonehouse, Airy, Roadside, AirConditioning, Back yard (Garden), Renovated, Price: 259.000. Berkshire Hathaway HomeServices Athens Properties, Tel: , email:",Berkshire Hathaway HomeServices Athens Properties,+30 698 555 8...,37.96125,23.670436,Berkshire Hathaway HomeServices Athens Properties,,23 Jul 2023,23 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/6683ae5d90f0d4008488574cd5a376f5.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/fff9bcfa6435fbc913969a1645990dd8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/601c5e3a327c160aa7988aa08e879c0d.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/59ea4de1d0d3b80c991836966250aef0.jpg
['120085909532'],120085909532,"Piraeus, kaminia, Building For Sale, 100 sq.m., In Plot 128 sq.m., Property Status: Very Good, Floor: Ground floor, 2 Level(s), 3 Bedrooms 2 Kitchen(s), 2 Bathroom(s), 1 Wc, Heating: Autonomous - Electricity, View: Unlimited, Energy Certificate: Under publication, Type of door frames: Aluminum, Features: Security door, Storage room, Fireplace (2), Playroom, Double Glazed Windows, Balcony Cover, Bbq, Pets Allowed, Furnished, Stonehouse, Airy, Roadside, AirConditioning, Back yard (Garden), Renovated, Price: 259.000. Berkshire Hathaway HomeServices Athens Properties, Tel: , email:",Berkshire Hathaway HomeServices Athens Properties,+30 698 555 8...,37.96125,23.670436,Berkshire Hathaway HomeServices Athens Properties,,23 Jul 2023,23 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/6683ae5d90f0d4008488574cd5a376f5.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/fff9bcfa6435fbc913969a1645990dd8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/601c5e3a327c160aa7988aa08e879c0d.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/59ea4de1d0d3b80c991836966250aef0.jpg
['120085909532'],120085909532,"Piraeus, kaminia, Building For Sale, 100 sq.m., In Plot 128 sq.m., Property Status: Very Good, Floor: Ground floor, 2 Level(s), 3 Bedrooms 2 Kitchen(s), 2 Bathroom(s), 1 Wc, Heating: Autonomous - Electricity, View: Unlimited, Energy Certificate: Under publication, Type of door frames: Aluminum, Features: Security door, Storage room, Fireplace (2), Playroom, Double Glazed Windows, Balcony Cover, Bbq, Pets Allowed, Furnished, Stonehouse, Airy, Roadside, AirConditioning, Back yard (Garden), Renovated, Price: 259.000. Berkshire Hathaway HomeServices Athens Properties, Tel: , email:",Berkshire Hathaway HomeServices Athens Properties,+30 698 555 8...,37.96125,23.670436,Berkshire Hathaway HomeServices Athens Properties,,23 Jul 2023,23 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/6683ae5d90f0d4008488574cd5a376f5.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/fff9bcfa6435fbc913969a1645990dd8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/601c5e3a327c160aa7988aa08e879c0d.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/59ea4de1d0d3b80c991836966250aef0.jpg
['120085909532'],120085909532,"Piraeus, kaminia, Building For Sale, 100 sq.m., In Plot 128 sq.m., Property Status: Very Good, Floor: Ground floor, 2 Level(s), 3 Bedrooms 2 Kitchen(s), 2 Bathroom(s), 1 Wc, Heating: Autonomous - Electricity, View: Unlimited, Energy Certificate: Under publication, Type of door frames: Aluminum, Features: Security door, Storage room, Fireplace (2), Playroom, Double Glazed Windows, Balcony Cover, Bbq, Pets Allowed, Furnished, Stonehouse, Airy, Roadside, AirConditioning, Back yard (Garden), Renovated, Price: 259.000. Berkshire Hathaway HomeServices Athens Properties, Tel: , email:",Berkshire Hathaway HomeServices Athens Properties,+30 698 555 8...,37.96125,23.670436,Berkshire Hathaway HomeServices Athens Properties,,23 Jul 2023,23 Jul 2023,https://s3.rea.global/img/1208x680-prop/realtor/gr/6683ae5d90f0d4008488574cd5a376f5.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/fff9bcfa6435fbc913969a1645990dd8.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/601c5e3a327c160aa7988aa08e879c0d.jpg;https://s3.rea.global/img/1208x680-prop/realtor/gr/59ea4de1d0d3b80c991836966250aef0.jpg
